SOC,Temp,T=10.00,T=11.00,T=12.00,T=13.00,T=14.00,T=15.00,T=16.00,T=17.00,T=18.00,T=19.00,T=20.00,T=21.00,T=22.00,T=23.00,T=24.00,T=25.00,T=26.00,T=27.00,T=28.00,T=29.00,T=30.00,T=31.00,T=32.00,T=33.00,T=34.00,T=35.00,T=36.00,T=37.00,T=38.00,T=39.00,T=40.00,T=41.00,T=42.00,T=43.00,T=44.00,T=45.00,T=46.00,T=47.00,T=48.00,T=49.00,T=50.00
0.0,10.0,0.002607287,0.002775762,0.002955124,0.003146076,0.003349366,0.003565793,0.003796204,0.004041504,0.004302654,0.004580679,0.004876669,0.0051917859999999,0.005527264,0.00588442,0.006264654,0.006669458,0.0075187909999999,0.008447258,0.009456836,0.010548413,0.011721555,0.012974248,0.014302635,0.015700752,0.017160271,0.018670269,0.019349466,0.020053371,0.0207828839999999,0.021538935,0.02232249,0.02313455,0.023976152,0.024848369,0.025752317,0.026689149,0.027660061,0.028666294,0.029709133,0.0307899079999999,0.03191
0.01,11.0,0.002540123,0.002704259,0.002879,0.003065033,0.003263087,0.0034739379999999,0.003698414,0.003937395,0.004191818,0.004462681,0.004751047,0.005058046,0.005384882,0.005732838,0.006103277,0.006497654,0.0073251069999999,0.008229658,0.009213228,0.010276686,0.0114196089999999,0.0126400319999999,0.0139342,0.015296301,0.016718223,0.018189323,0.018851025,0.019536798,0.020247518,0.020984093,0.0217474639999999,0.022538605,0.023358527,0.024208277,0.0250889389999999,0.0260016379999999,0.02694754,0.027927852,0.028943827,0.029996761,0.031088
0.02,12.0,0.00247296,0.002632755,0.0028028759999999,0.00298399,0.003176807,0.0033820829999999,0.003600624,0.0038332859999999,0.004080982,0.004344683,0.004625424,0.004924306,0.0052425,0.005581255,0.0059419,0.006325849,0.007131424,0.008012057,0.00896962,0.01000496,0.011117662,0.012305817,0.013565765,0.014891851,0.016276175,0.017708378,0.018352583,0.019020224,0.019712152,0.020429251,0.021172438,0.021942661,0.022740903,0.023568184,0.02442556,0.025314127,0.026235018,0.02718941,0.028178521,0.029203615,0.030266
0.03,13.0,0.002405796,0.002561252,0.0027267529999999,0.002902948,0.003090528,0.003290229,0.003502834,0.003729177,0.003970146,0.004226685,0.0044998009999999,0.004790565,0.005100118,0.005429673,0.005780523,0.006154044,0.00693774,0.007794456,0.008726013,0.009733233,0.010815715,0.011971601,0.01319733,0.0144874,0.015834128,0.017227433,0.017854142,0.01850365,0.019176786,0.019874409,0.020597412,0.021346716,0.022123278,0.022928091,0.023762182,0.024626615,0.025522496,0.026450967,0.027413215,0.0284104679999999,0.029444
0.04,14.0,0.0023386329999999,0.002489748,0.002650629,0.002821905,0.0030042479999999,0.003198374,0.003405044,0.003625068,0.003859309,0.004108687,0.004374178,0.004656825,0.004957736,0.0052780909999999,0.0056191459999999,0.005982239,0.006744056,0.007576855,0.008482405,0.009461506,0.010513769,0.011637385,0.012828895,0.0140829489999999,0.01539208,0.016746488,0.017355701,0.017987076,0.01864142,0.019319568,0.020022385,0.020750771,0.021505654,0.022287998,0.0230988029999999,0.023939104,0.024809974,0.025712525,0.02664791,0.027617322,0.028622
0.05,15.0,0.002271469,0.002418245,0.002574505,0.002740862,0.002917969,0.003106519,0.003307254,0.003520959,0.003748473,0.003990689,0.004248556,0.004523085,0.004815354,0.005126508,0.005457769,0.005810434,0.006550373,0.007359254,0.008238798,0.00918978,0.0102118219999999,0.0113031689999999,0.01246046,0.0136784989999999,0.014950032,0.016265543,0.016857259,0.017470502,0.018106054,0.018764726,0.0194473589999999,0.020154826,0.020888029,0.021647906,0.022435425,0.0232515929999999,0.024097452,0.0249740829999999,0.025882604,0.026824175,0.0278
0.06,16.0,0.002204305,0.002346741,0.002498381,0.002659819,0.002831689,0.003014665,0.003209464,0.00341685,0.003637637,0.0038726909999999,0.004122933,0.004389345,0.004672972,0.004974926,0.005296391,0.005638629,0.006356689,0.007141653,0.00799519,0.008918053,0.009909875,0.010968953,0.012092024,0.013274048,0.014507985,0.015784597,0.016358818,0.016953928,0.017570688,0.018209884,0.018872333,0.019558881,0.020270405,0.0210078129999999,0.021772047,0.022564082,0.023384931,0.024235641,0.025117298,0.026031029,0.026978
0.07,17.0,0.002137142,0.0022752379999999,0.002422257,0.002578776,0.00274541,0.00292281,0.003111674,0.0033127409999999,0.003526801,0.003754693,0.00399731,0.004255605,0.00453059,0.004823344,0.005135014,0.005466824,0.006163005,0.0069240519999999,0.007751582,0.0086463269999999,0.009607928,0.010634737,0.011723589,0.012869598,0.0140659369999999,0.015303652,0.015860377,0.0164373539999999,0.017035322,0.017655042,0.018297307,0.018962936,0.01965278,0.02036772,0.0211086679999999,0.021876571,0.0226724089999999,0.0234971979999999,0.024351992,0.025237882,0.026156
0.08,18.0,0.002069978,0.0022037339999999,0.002346133,0.002497734,0.00265913,0.002830955,0.003013884,0.003208632,0.003415965,0.003636695,0.003871687,0.004121865,0.004388208,0.004671761,0.004973637,0.005295019,0.0059693219999999,0.0067064509999999,0.007507975,0.0083746,0.0093059819999999,0.010300521,0.011355154,0.012465147,0.0136238889999999,0.014822707,0.015361936,0.015920781,0.016499956,0.0171002,0.017722281,0.018366991,0.019035156,0.019727627,0.02044529,0.02118906,0.021959887,0.022758756,0.023586686,0.024444736,0.025334
0.09,19.0,0.002002815,0.002132231,0.002270009,0.002416691,0.002572851,0.002739101,0.002916094,0.003104523,0.003305129,0.003518697,0.003746065,0.003988125,0.0042458259999999,0.004520179,0.00481226,0.005123214,0.005775638,0.00648885,0.007264367,0.008102874,0.009004035,0.009966305,0.0109867189999999,0.0120606969999999,0.013181841,0.014341762,0.014863494,0.015404207,0.01596459,0.016545358,0.017147254,0.0177710469999999,0.018417531,0.019087535,0.019781911,0.0205015489999999,0.021247365,0.022020314,0.022821381,0.023651589,0.024512
