DOD,f_ri_cyc
0.0,0.0
0.001,2.937e-07
0.002,5.873e-07
0.003,8.809999999999999e-07
0.004,1.1747e-06
0.005,1.4683000000000002e-06
0.006,1.7619999999999998e-06
0.0069999999999999,2.0557e-06
0.008,2.3493e-06
0.009,2.643e-06
0.01,2.9367e-06
0.011,3.2303e-06
0.012,3.524e-06
0.013,3.8177e-06
0.0139999999999999,4.1113e-06
0.015,4.405e-06
0.016,4.6987e-06
0.017,4.9923000000000005e-06
0.018,5.286e-06
0.019,5.5797e-06
0.02,5.8733e-06
0.021,6.167e-06
0.022,6.460700000000001e-06
0.023,6.7543e-06
0.024,7.047999999999999e-06
0.025,7.341699999999999e-06
0.026,7.6353e-06
0.027,7.929e-06
0.0279999999999999,8.2227e-06
0.0289999999999999,8.5163e-06
0.03,8.81e-06
0.031,9.1037e-06
0.032,9.3973e-06
0.033,9.691e-06
0.034,9.9847e-06
0.035,1.02783e-05
0.036,1.0572e-05
0.037,1.08657e-05
0.038,1.11593e-05
0.039,1.1453e-05
0.04,1.17467e-05
0.0409999999999999,1.20403e-05
0.042,1.2334e-05
0.043,1.26277e-05
0.044,1.29213e-05
0.045,1.3215e-05
0.046,1.3508699999999998e-05
0.047,1.38023e-05
0.048,1.4096e-05
0.049,1.43897e-05
0.05,1.46833e-05
0.051,1.4977e-05
0.052,1.52707e-05
0.053,1.55643e-05
0.054,1.5858e-05
0.055,1.61517e-05
0.0559999999999999,1.64453e-05
0.057,1.6739e-05
0.0579999999999999,1.70327e-05
0.059,1.73263e-05
0.06,1.762e-05
0.061,1.7913699999999998e-05
0.062,1.82073e-05
0.063,1.8501e-05
0.064,1.87947e-05
0.065,1.90883e-05
0.066,1.9382e-05
0.067,1.96757e-05
0.068,1.99693e-05
0.069,2.0263e-05
0.07,2.05567e-05
0.071,2.0850300000000003e-05
0.072,2.1144e-05
0.073,2.14377e-05
0.074,2.17313e-05
0.075,2.2025e-05
0.076,2.23187e-05
0.077,2.26123e-05
0.078,2.2906e-05
0.079,2.31997e-05
0.08,2.34933e-05
0.081,2.3787e-05
0.0819999999999999,2.40807e-05
0.083,2.43743e-05
0.084,2.4668e-05
0.085,2.49617e-05
0.086,2.52553e-05
0.087,2.5549e-05
0.088,2.58427e-05
0.089,2.61363e-05
0.09,2.643e-05
0.091,2.67237e-05
0.092,2.70173e-05
0.093,2.7311e-05
0.094,2.76047e-05
0.095,2.78983e-05
0.096,2.8192e-05
0.0969999999999999,2.84857e-05
0.098,2.87793e-05
0.099,2.9073e-05
0.1,2.93667e-05
0.1009999999999999,2.96603e-05
0.102,2.9954e-05
0.103,3.02477e-05
0.104,3.05413e-05
0.105,3.0835e-05
0.106,3.11287e-05
0.107,3.14223e-05
0.108,3.1716e-05
0.109,3.20097e-05
0.11,3.23033e-05
0.111,3.2597e-05
0.1119999999999999,3.28907e-05
0.113,3.31843e-05
0.114,3.3478e-05
0.115,3.37717e-05
0.1159999999999999,3.40653e-05
0.1169999999999999,3.4359e-05
0.118,3.46527e-05
0.119,3.49463e-05
0.12,3.524e-05
0.121,3.55337e-05
0.122,3.58273e-05
0.123,3.6121e-05
0.124,3.64147e-05
0.125,3.67083e-05
0.126,3.7002e-05
0.127,3.72957e-05
0.128,3.75893e-05
0.129,3.7883e-05
0.13,3.81767e-05
0.131,3.84703e-05
0.132,3.8764e-05
0.133,3.90577e-05
0.134,3.93513e-05
0.135,3.9645e-05
0.136,3.99387e-05
0.1369999999999999,4.02323e-05
0.138,4.0526e-05
0.139,4.08197e-05
0.14,4.11133e-05
0.141,4.1407e-05
0.142,4.17007e-05
0.143,4.1994300000000006e-05
0.144,4.2288e-05
0.145,4.25817e-05
0.146,4.28753e-05
0.147,4.3169e-05
0.148,4.3462700000000007e-05
0.149,4.37563e-05
0.15,4.405e-05
0.151,4.43437e-05
0.152,4.46373e-05
0.153,4.4931e-05
0.154,4.52247e-05
0.155,4.55183e-05
0.156,4.5812e-05
0.157,4.61057e-05
0.158,4.63993e-05
0.159,4.6693e-05
0.16,4.69867e-05
0.161,4.72803e-05
0.162,4.7574e-05
0.163,4.78677e-05
0.1639999999999999,4.81613e-05
0.165,4.8455e-05
0.166,4.87487e-05
0.1669999999999999,4.90423e-05
0.168,4.9336e-05
0.1689999999999999,4.96297e-05
0.17,4.99233e-05
0.171,5.0217e-05
0.172,5.05107e-05
0.173,5.08043e-05
0.174,5.1098e-05
0.175,5.13917e-05
0.176,5.16853e-05
0.177,5.1979e-05
0.178,5.2272700000000005e-05
0.179,5.25663e-05
0.18,5.286e-05
0.181,5.31537e-05
0.182,5.34473e-05
0.183,5.3741000000000006e-05
0.184,5.40347e-05
0.185,5.43283e-05
0.186,5.4622e-05
0.187,5.49157e-05
0.188,5.52093e-05
0.1889999999999999,5.5503e-05
0.19,5.57967e-05
0.191,5.60903e-05
0.192,5.6384e-05
0.193,5.66777e-05
0.1939999999999999,5.69713e-05
0.195,5.7265e-05
0.196,5.75587e-05
0.1969999999999999,5.78523e-05
0.198,5.8146e-05
0.1989999999999999,5.84397e-05
0.2,5.87333e-05
0.201,5.9027e-05
0.2019999999999999,5.93207e-05
0.203,5.96143e-05
0.204,5.9908e-05
0.205,6.02017e-05
0.206,6.04953e-05
0.207,6.0789e-05
0.208,6.10827e-05
0.209,6.13763e-05
0.21,6.167e-05
0.211,6.19637e-05
0.212,6.225729999999999e-05
0.213,6.2551e-05
0.214,6.28447e-05
0.215,6.31383e-05
0.216,6.3432e-05
0.217,6.37257e-05
0.218,6.40193e-05
0.2189999999999999,6.4313e-05
0.22,6.46067e-05
0.221,6.49003e-05
0.222,6.5194e-05
0.223,6.54877e-05
0.2239999999999999,6.57813e-05
0.225,6.6075e-05
0.226,6.63687e-05
0.2269999999999999,6.66623e-05
0.228,6.6956e-05
0.2289999999999999,6.72497e-05
0.23,6.75433e-05
0.231,6.7837e-05
0.2319999999999999,6.81307e-05
0.233,6.84243e-05
0.2339999999999999,6.8718e-05
0.235,6.90117e-05
0.236,6.93053e-05
0.237,6.9599e-05
0.238,6.989270000000001e-05
0.239,7.01863e-05
0.24,7.048e-05
0.241,7.07737e-05
0.242,7.10673e-05
0.243,7.136100000000001e-05
0.244,7.16547e-05
0.245,7.19483e-05
0.246,7.2242e-05
0.247,7.253569999999999e-05
0.248,7.28293e-05
0.249,7.3123e-05
0.25,7.34167e-05
0.251,7.371029999999999e-05
0.252,7.400399999999999e-05
0.253,7.42977e-05
0.254,7.45913e-05
0.255,7.4885e-05
0.256,7.51787e-05
0.257,7.547229999999999e-05
0.258,7.5766e-05
0.259,7.60597e-05
0.26,7.63533e-05
0.261,7.6647e-05
0.262,7.69407e-05
0.263,7.723430000000001e-05
0.264,7.752800000000001e-05
0.265,7.782170000000001e-05
0.266,7.81153e-05
0.267,7.8409e-05
0.268,7.87027e-05
0.2689999999999999,7.89963e-05
0.27,7.929e-05
0.271,8.056260000000001e-05
0.272,8.18353e-05
0.273,8.310790000000001e-05
0.2739999999999999,8.43805e-05
0.275,8.56532e-05
0.276,8.69258e-05
0.2769999999999999,8.81984e-05
0.278,8.9471e-05
0.2789999999999999,9.07437e-05
0.28,9.20163e-05
0.281,9.32889e-05
0.282,9.45616e-05
0.283,9.58342e-05
0.284,9.71068e-05
0.285,9.83795e-05
0.286,9.96521e-05
0.287,0.0001009246999999
0.288,0.0001021972999999
0.289,0.00010347
0.29,0.0001047426
0.291,0.0001060152
0.292,0.0001072879
0.293,0.0001085605
0.294,0.0001098331
0.295,0.0001111058
0.296,0.0001123784
0.297,0.000113651
0.298,0.0001149237
0.299,0.0001161962999999
0.3,0.0001174688999999
0.301,0.0001187415
0.302,0.0001200142
0.303,0.0001212868
0.304,0.0001225594
0.305,0.0001238321
0.306,0.0001251046999999
0.307,0.0001263773
0.308,0.00012765
0.309,0.0001289226
0.31,0.0001301952
0.311,0.0001314678
0.312,0.0001327405
0.313,0.0001340131
0.314,0.0001352856999999
0.315,0.0001365584
0.316,0.000137831
0.317,0.0001391036
0.318,0.0001403763
0.319,0.0001416489
0.32,0.0001429215
0.321,0.0001441942
0.322,0.0001454668
0.3229999999999999,0.0001467394
0.324,0.000148012
0.325,0.0001492846999999
0.326,0.0001505573
0.327,0.0001518299
0.3279999999999999,0.0001531026
0.3289999999999999,0.0001543752
0.33,0.0001556478
0.331,0.0001569205
0.332,0.0001581931
0.3329999999999999,0.0001594657
0.3339999999999999,0.0001607383
0.335,0.000162011
0.336,0.0001632836
0.337,0.0001645562
0.3379999999999999,0.0001658289
0.3389999999999999,0.0001671015
0.34,0.0001683741
0.341,0.0001696468
0.342,0.0001709193999999
0.3429999999999999,0.000172192
0.344,0.0001734647
0.345,0.0001747373
0.346,0.0001760099
0.347,0.0001772825
0.348,0.0001785552
0.349,0.0001798278
0.35,0.0001811004
0.351,0.0001823731
0.352,0.0001836457
0.353,0.0001849183
0.354,0.000186191
0.355,0.0001874636
0.356,0.0001887362
0.357,0.0001900088
0.358,0.0001912815
0.359,0.0001925541
0.36,0.0001938267
0.361,0.0001950993999999
0.362,0.000196372
0.363,0.0001976445999999
0.364,0.0001989173
0.365,0.0002001899
0.366,0.0002014625
0.367,0.0002027352
0.368,0.0002040077999999
0.369,0.0002052804
0.37,0.000206553
0.371,0.0002078257
0.372,0.0002090983
0.373,0.0002103709
0.374,0.0002116436
0.375,0.0002129162
0.376,0.0002141888
0.377,0.0002154615
0.3779999999999999,0.0002167341
0.379,0.0002180067
0.38,0.0002192793
0.381,0.000220552
0.382,0.0002218245999999
0.3829999999999999,0.0002230972
0.384,0.0002243699
0.385,0.0002256425
0.386,0.0002269150999999
0.387,0.0002281877999999
0.3879999999999999,0.0002294604
0.389,0.000230733
0.39,0.0002320057
0.391,0.0002332783
0.392,0.0002345509
0.3929999999999999,0.0002358234999999
0.3939999999999999,0.0002370962
0.395,0.0002383688
0.396,0.0002396414
0.397,0.0002409141
0.3979999999999999,0.0002421866999999
0.3989999999999999,0.0002434593
0.4,0.000244732
0.401,0.0002460046
0.402,0.0002472772
0.4029999999999999,0.0002485498
0.4039999999999999,0.0002498225
0.405,0.0002510951
0.406,0.0002523677
0.407,0.0002536404
0.408,0.000254913
0.409,0.0002561856
0.41,0.0002574583
0.411,0.0002587309
0.412,0.0002600035
0.413,0.0002612761999999
0.414,0.0002625488
0.415,0.0002638214
0.416,0.000265094
0.417,0.0002663667
0.418,0.0002676393
0.419,0.0002689118999999
0.42,0.0002701846
0.421,0.0002714572
0.422,0.0002727298
0.423,0.0002740025
0.424,0.0002752751
0.425,0.0002765477
0.426,0.0002778203
0.427,0.000279093
0.428,0.0002803656
0.429,0.0002816382
0.43,0.0002829109
0.431,0.0002841835
0.432,0.0002854561
0.433,0.0002867288
0.434,0.0002880014
0.435,0.000289274
0.436,0.0002905467
0.437,0.0002918193
0.4379999999999999,0.0002930918999999
0.439,0.0002943645
0.44,0.0002956372
0.441,0.0002969098
0.442,0.0002981824
0.4429999999999999,0.0002994551
0.444,0.0003007277
0.445,0.0003020002999999
0.446,0.000303273
0.447,0.0003045456
0.4479999999999999,0.0003058182
0.449,0.0003070908
0.45,0.0003083635
0.451,0.0003096361
0.452,0.0003109087
0.4529999999999999,0.0003121814
0.4539999999999999,0.000313454
0.455,0.0003147266
0.456,0.0003159993
0.457,0.0003172719
0.4579999999999999,0.0003185445
0.4589999999999999,0.0003198172
0.46,0.0003210898
0.461,0.0003223624
0.462,0.000323635
0.4629999999999999,0.0003249077
0.4639999999999999,0.0003261802999999
0.465,0.0003274529
0.466,0.0003287255999999
0.467,0.0003299982
0.4679999999999999,0.0003312708
0.469,0.0003325435
0.47,0.0003338161
0.471,0.0003350887
0.472,0.0003363612999999
0.473,0.000337634
0.474,0.0003389066
0.475,0.0003401792
0.476,0.0003414519
0.477,0.0003427245
0.478,0.0003439971
0.479,0.0003452698
0.48,0.0003465424
0.481,0.000347815
0.482,0.0003490876999999
0.483,0.0003503602999999
0.484,0.0003516329
0.485,0.0003529055
0.486,0.0003541782
0.487,0.0003554508
0.488,0.0003567233999999
0.489,0.0003579961
